wavelength,n,k
525.0,1.4450613318010521,6.1571199323192685e-06
530.0,1.4446619939629128,6.2068321566597495e-06
535.0000000000001,1.4442795637224293,6.256760947790115e-06
540.0,1.4439126600832006,6.306885225988589e-06
545.0000000000001,1.4435598867255501,6.357182444447727e-06
550.0,1.4432198584897349,6.40762918541577e-06
555.0000000000001,1.4428911751659834,6.458200557684028e-06
560.0,1.4425724391769505,6.5088705967116755e-06
565.0,1.4422622600865505,6.55961237338714e-06
570.0,1.441959237116294,6.61039758140525e-06
575.0,1.441661963611279,6.661196634257824e-06
580.0000000000001,1.441369044695192,6.711979089482069e-06
585.0,1.441079070935202,6.762713013586832e-06
590.0000000000001,1.4407906447667265,6.8133656227713775e-06
595.0,1.440502354115299,6.863902637051661e-06
600.0000000000001,1.4402127943995109,6.914288821303501e-06
605.0,1.439920559720184,6.964487771266232e-06
610.0000000000001,1.4396242340210343,7.014461688674052e-06
615.0,1.4393224086574272,7.064171827363469e-06
620.0,1.4390136735301802,7.1135782741720524e-06
625.0,1.4386966125980187,7.162639834462673e-06
630.0,1.4383698081850635,7.2113141450795905e-06
635.0000000000001,1.438031840866549,7.259557675657113e-06
640.0,1.4376812981607874,7.307325966517523e-06
645.0000000000001,1.4373167567377765,7.354573162952993e-06
650.0,1.4369369455860457,7.4012564492748474e-06
655.0000000000001,1.4365647306741154,7.4479930832356404e-06
660.0,1.4362151029391192,7.495201223511383e-06
665.0000000000001,1.435885214067109,7.542815282583578e-06
670.0,1.4355722160442392,7.590767429826915e-06
675.0,1.4352732527270406,7.638987344546276e-06
680.0,1.4349854601814809,7.687402209488531e-06
685.0,1.434705980228266,7.735937084082123e-06
690.0000000000001,1.4344319473976468,7.784514530521212e-06
695.0,1.4341604890747546,7.833054608666197e-06
700.0000000000001,1.4338887432821115,7.881475388165964e-06
705.0,1.4336138321476035,7.929692182178033e-06
710.0000000000001,1.4333328795475588,7.977618058789418e-06
715.0,1.4330430109876011,8.025163847313247e-06
720.0000000000001,1.4327413401216684,8.072237746727212e-06
725.0,1.4324249817670647,8.118745720794195e-06
730.0,1.4320910515680905,8.164591506342267e-06
735.0,1.4317366567170617,8.209676351126696e-06
740.0,1.4313588954534537,8.2538990144549e-06
745.0000000000001,1.430954869793633,8.297156180746621e-06
750.0,1.4305216760133332,8.33934219880164e-06
755.0000000000001,1.4300563905875106,8.380348671789347e-06
760.0,1.4295465848293218,8.419765336193085e-06
765.0000000000001,1.4288095281111783,8.451770431923012e-06
770.0,1.4278448910389905,8.476230030416395e-06
775.0000000000001,1.4267438909679917,8.495950896585223e-06
780.0,1.4255980232857974,8.513813712569738e-06
785.0,1.4244991300915477,8.532772083173427e-06
790.0000000000001,1.4235394057610629,8.555852456664977e-06
795.0,1.4228113218769303,8.58615456133415e-06
800.0000000000001,1.422407485863213,8.62685296757752e-06
805.0,1.4223912447945444,8.680232594246182e-06
810.0000000000001,1.4226510332249322,8.742810748129143e-06
815.0,1.4231492755490436,8.813504322464493e-06
820.0000000000001,1.4238689963680395,8.89190036040168e-06
825.0,1.4247931366945383,8.977573412244826e-06
830.0000000000001,1.4259045660212566,9.070084518753734e-06
835.0,1.4271861362538054,9.168981716217288e-06
840.0,1.4286206968053705,9.273799344905877e-06
