wavelength_nm,R,T,a,b,eta,R_as,sqrt_arg,k,n,k_isnan,k_isinf,n_isnan,n_isinf
6.00000000e+02,6.29753760e-02,9.36024624e-01,-1.87304925e-03,1.87205019e+00,8.75265925e-01,3.25439244e-02,1.39080871e-01,6.91428882e-06,1.44021279e+00,False,False,False,False
6.05000000e+02,6.29090130e-02,9.36090987e-01,-1.87318197e-03,1.87218291e+00,8.75390040e-01,3.25085161e-02,1.38919379e-01,6.96448777e-06,1.43992056e+00,False,False,False,False
6.10000000e+02,6.28417370e-02,9.36158263e-01,-1.87331653e-03,1.87231746e+00,8.75515872e-01,3.24726231e-02,1.38755702e-01,7.01446169e-06,1.43962423e+00,False,False,False,False
6.15000000e+02,6.27732290e-02,9.36226771e-01,-1.87345354e-03,1.87245448e+00,8.75644017e-01,3.24360754e-02,1.38589063e-01,7.06417183e-06,1.43932241e+00,False,False,False,False
6.20000000e+02,6.27031700e-02,9.36296830e-01,-1.87359366e-03,1.87259460e+00,8.75775073e-01,3.23987030e-02,1.38418689e-01,7.11357827e-06,1.43901367e+00,False,False,False,False
6.25000000e+02,6.26312400e-02,9.36368760e-01,-1.87373752e-03,1.87273846e+00,8.75909639e-01,3.23603352e-02,1.38243805e-01,7.16263983e-06,1.43869661e+00,False,False,False,False
6.30000000e+02,6.25571190e-02,9.36442881e-01,-1.87388576e-03,1.87288670e+00,8.76048315e-01,3.23208018e-02,1.38063636e-01,7.21131415e-06,1.43836981e+00,False,False,False,False
6.35000000e+02,6.24804870e-02,9.36519513e-01,-1.87403903e-03,1.87303996e+00,8.76191700e-01,3.22799323e-02,1.37877409e-01,7.25955768e-06,1.43803184e+00,False,False,False,False
6.40000000e+02,6.24010260e-02,9.36598974e-01,-1.87419795e-03,1.87319889e+00,8.76340391e-01,3.22375574e-02,1.37684354e-01,7.30732597e-06,1.43768130e+00,False,False,False,False
6.45000000e+02,6.23184160e-02,9.36681584e-01,-1.87436317e-03,1.87336411e+00,8.76494988e-01,3.21935070e-02,1.37483702e-01,7.35457316e-06,1.43731676e+00,False,False,False,False
6.50000000e+02,6.22323720e-02,9.36767628e-01,-1.87453526e-03,1.87353619e+00,8.76656026e-01,3.21476294e-02,1.37274765e-01,7.40125645e-06,1.43693695e+00,False,False,False,False
6.55000000e+02,6.21480750e-02,9.36851925e-01,-1.87470385e-03,1.87370479e+00,8.76813809e-01,3.21026872e-02,1.37070125e-01,7.44799308e-06,1.43656473e+00,False,False,False,False
6.60000000e+02,6.20689170e-02,9.36931083e-01,-1.87486217e-03,1.87386310e+00,8.76961985e-01,3.20604884e-02,1.36878012e-01,7.49520122e-06,1.43621510e+00,False,False,False,False
6.65000000e+02,6.19942490e-02,9.37005751e-01,-1.87501150e-03,1.87401244e+00,8.77101769e-01,3.20206863e-02,1.36696840e-01,7.54281528e-06,1.43588521e+00,False,False,False,False
6.70000000e+02,6.19234230e-02,9.37076577e-01,-1.87515315e-03,1.87415409e+00,8.77234370e-01,3.19829351e-02,1.36525030e-01,7.59076743e-06,1.43557222e+00,False,False,False,False
6.75000000e+02,6.18557900e-02,9.37144210e-01,-1.87528842e-03,1.87428936e+00,8.77361002e-01,3.19468884e-02,1.36361002e-01,7.63898734e-06,1.43527325e+00,False,False,False,False
6.80000000e+02,6.17907000e-02,9.37209300e-01,-1.87541860e-03,1.87441954e+00,8.77482882e-01,3.19121994e-02,1.36203175e-01,7.68740221e-06,1.43498546e+00,False,False,False,False
6.85000000e+02,6.17275050e-02,9.37272495e-01,-1.87554499e-03,1.87454593e+00,8.77601221e-01,3.18785225e-02,1.36049975e-01,7.73593708e-06,1.43470598e+00,False,False,False,False
6.90000000e+02,6.16655560e-02,9.37334444e-01,-1.87566889e-03,1.87466983e+00,8.77717235e-01,3.18455118e-02,1.35899825e-01,7.78451453e-06,1.43443195e+00,False,False,False,False
6.95000000e+02,6.16042030e-02,9.37395797e-01,-1.87579159e-03,1.87479253e+00,8.77832140e-01,3.18128207e-02,1.35751149e-01,7.83305461e-06,1.43416049e+00,False,False,False,False
7.00000000e+02,6.15427990e-02,9.37457201e-01,-1.87591440e-03,1.87491534e+00,8.77947149e-01,3.17801046e-02,1.35602379e-01,7.88147539e-06,1.43388874e+00,False,False,False,False
7.05000000e+02,6.14806940e-02,9.37519306e-01,-1.87603861e-03,1.87503955e+00,8.78063478e-01,3.17470170e-02,1.35451940e-01,7.92969218e-06,1.43361383e+00,False,False,False,False
7.10000000e+02,6.14172390e-02,9.37582761e-01,-1.87616552e-03,1.87516646e+00,8.78182343e-01,3.17132124e-02,1.35298262e-01,7.97761806e-06,1.43333288e+00,False,False,False,False
7.15000000e+02,6.13517860e-02,9.37648214e-01,-1.87629643e-03,1.87529737e+00,8.78304960e-01,3.16783458e-02,1.35139777e-01,8.02516385e-06,1.43304301e+00,False,False,False,False
7.20000000e+02,6.12836850e-02,9.37716315e-01,-1.87643263e-03,1.87543357e+00,8.78432547e-01,3.16420710e-02,1.34974916e-01,8.07223775e-06,1.43274134e+00,False,False,False,False
7.25000000e+02,6.12122870e-02,9.37787713e-01,-1.87657543e-03,1.87557636e+00,8.78566320e-01,3.16040428e-02,1.34802112e-01,8.11874572e-06,1.43242498e+00,False,False,False,False
7.30000000e+02,6.11369440e-02,9.37863056e-01,-1.87672611e-03,1.87572705e+00,8.78707496e-01,3.15639165e-02,1.34619803e-01,8.16459151e-06,1.43209105e+00,False,False,False,False
7.35000000e+02,6.10570070e-02,9.37942993e-01,-1.87688599e-03,1.87588692e+00,8.78857292e-01,3.15213468e-02,1.34426426e-01,8.20967635e-06,1.43173666e+00,False,False,False,False
7.40000000e+02,6.09718260e-02,9.38028174e-01,-1.87705635e-03,1.87605729e+00,8.79016930e-01,3.14759884e-02,1.34220417e-01,8.25389901e-06,1.43135890e+00,False,False,False,False
7.45000000e+02,6.08807530e-02,9.38119247e-01,-1.87723849e-03,1.87623943e+00,8.79187625e-01,3.14274969e-02,1.34000220e-01,8.29715618e-06,1.43095487e+00,False,False,False,False
7.50000000e+02,6.07831400e-02,9.38216860e-01,-1.87743372e-03,1.87643466e+00,8.79370597e-01,3.13755283e-02,1.33764283e-01,8.33934220e-06,1.43052168e+00,False,False,False,False
7.55000000e+02,6.06783360e-02,9.38321664e-01,-1.87764333e-03,1.87664427e+00,8.79567069e-01,3.13197371e-02,1.33511046e-01,8.38034867e-06,1.43005639e+00,False,False,False,False
7.60000000e+02,6.05635520e-02,9.38436448e-01,-1.87787290e-03,1.87687384e+00,8.79782276e-01,3.12586401e-02,1.33233791e-01,8.41976534e-06,1.42954658e+00,False,False,False,False
7.65000000e+02,6.03976910e-02,9.38602309e-01,-1.87820462e-03,1.87720556e+00,8.80093292e-01,3.11703686e-02,1.32833343e-01,8.45177043e-06,1.42880953e+00,False,False,False,False
7.70000000e+02,6.01807770e-02,9.38819223e-01,-1.87863845e-03,1.87763939e+00,8.80500124e-01,3.10549494e-02,1.32309955e-01,8.47623003e-06,1.42784489e+00,False,False,False,False
7.75000000e+02,5.99334220e-02,9.39066578e-01,-1.87913316e-03,1.87813410e+00,8.80964164e-01,3.09233642e-02,1.31713558e-01,8.49595090e-06,1.42674389e+00,False,False,False,False
7.80000000e+02,5.96762400e-02,9.39323760e-01,-1.87964752e-03,1.87864846e+00,8.81446769e-01,3.07865869e-02,1.31093966e-01,8.51381371e-06,1.42559802e+00,False,False,False,False
7.85000000e+02,5.94298450e-02,9.39570155e-01,-1.88014031e-03,1.87914125e+00,8.81909256e-01,3.06555805e-02,1.30500840e-01,8.53277208e-06,1.42449913e+00,False,False,False,False
7.90000000e+02,5.92148510e-02,9.39785149e-01,-1.88057030e-03,1.87957124e+00,8.82312902e-01,3.05412969e-02,1.29983683e-01,8.55585246e-06,1.42353941e+00,False,False,False,False
7.95000000e+02,5.90518710e-02,9.39948129e-01,-1.88089626e-03,1.87989720e+00,8.82618955e-01,3.04546791e-02,1.29591880e-01,8.58615456e-06,1.42281132e+00,False,False,False,False
8.00000000e+02,5.89615190e-02,9.40038481e-01,-1.88107696e-03,1.88007790e+00,8.82788646e-01,3.04066666e-02,1.29374761e-01,8.62685297e-06,1.42240749e+00,False,False,False,False
8.05000000e+02,5.89578860e-02,9.40042114e-01,-1.88108423e-03,1.88008517e+00,8.82795469e-01,3.04047362e-02,1.29366033e-01,8.68023259e-06,1.42239124e+00,False,False,False,False
8.10000000e+02,5.90160050e-02,9.39983995e-01,-1.88096799e-03,1.87996893e+00,8.82686313e-01,3.04356196e-02,1.29505685e-01,8.74281075e-06,1.42265103e+00,False,False,False,False
8.15000000e+02,5.91275080e-02,9.39872492e-01,-1.88074498e-03,1.87974592e+00,8.82476913e-01,3.04948755e-02,1.29773685e-01,8.81350432e-06,1.42314928e+00,False,False,False,False
8.20000000e+02,5.92886640e-02,9.39711336e-01,-1.88042267e-03,1.87942361e+00,8.82174310e-01,3.05805306e-02,1.30161196e-01,8.89190036e-06,1.42386900e+00,False,False,False,False
8.25000000e+02,5.94957440e-02,9.39504256e-01,-1.88000851e-03,1.87900945e+00,8.81785551e-01,3.06906152e-02,1.30659427e-01,8.97757341e-06,1.42479314e+00,False,False,False,False
8.30000000e+02,5.97450160e-02,9.39254984e-01,-1.87950997e-03,1.87851091e+00,8.81317697e-01,3.08231606e-02,1.31259609e-01,9.07008452e-06,1.42590457e+00,False,False,False,False
8.35000000e+02,6.00327500e-02,9.38967250e-01,-1.87893450e-03,1.87793544e+00,8.80777809e-01,3.09761996e-02,1.31952991e-01,9.16898172e-06,1.42718614e+00,False,False,False,False
8.40000000e+02,6.03552150e-02,9.38644785e-01,-1.87828957e-03,1.87729051e+00,8.80172950e-01,3.11477652e-02,1.32730825e-01,9.27379934e-06,1.42862070e+00,False,False,False,False
8.45000000e+02,6.07086810e-02,9.38291319e-01,-1.87758264e-03,1.87658358e+00,8.79510180e-01,3.13358903e-02,1.33584359e-01,9.38405813e-06,1.43019113e+00,False,False,False,False
8.50000000e+02,6.10894180e-02,9.37910582e-01,-1.87682116e-03,1.87582210e+00,8.78796555e-01,3.15386065e-02,1.34504826e-01,9.49926484e-06,1.43188036e+00,False,False,False,False
8.55000000e+02,6.14936940e-02,9.37506306e-01,-1.87601261e-03,1.87501355e+00,8.78039127e-01,3.17539428e-02,1.35483428e-01,9.61891173e-06,1.43367138e+00,False,False,False,False
8.60000000e+02,6.19177800e-02,9.37082220e-01,-1.87516444e-03,1.87416538e+00,8.77244935e-01,3.19799274e-02,1.36511343e-01,9.74247721e-06,1.43554727e+00,False,False,False,False
8.65000000e+02,6.23579440e-02,9.36642056e-01,-1.87428411e-03,1.87328505e+00,8.76421014e-01,3.22145842e-02,1.37579705e-01,9.86942470e-06,1.43749120e+00,False,False,False,False
8.70000000e+02,6.28104570e-02,9.36189543e-01,-1.87337909e-03,1.87238002e+00,8.75574380e-01,3.24559355e-02,1.38679612e-01,9.99920347e-06,1.43948643e+00,False,False,False,False
8.75000000e+02,6.32715870e-02,9.35728413e-01,-1.87245683e-03,1.87145776e+00,8.74712046e-01,3.27019988e-02,1.39802104e-01,1.01312475e-05,1.44151634e+00,False,False,False,False
8.80000000e+02,6.37376050e-02,9.35262395e-01,-1.87152479e-03,1.87052573e+00,8.73841002e-01,3.29507894e-02,1.40938182e-01,1.02649765e-05,1.44356442e+00,False,False,False,False
8.85000000e+02,6.42047790e-02,9.34795221e-01,-1.87059044e-03,1.86959138e+00,8.72968233e-01,3.32003175e-02,1.42078783e-01,1.03997946e-05,1.44561425e+00,False,False,False,False
8.90000000e+02,6.46693790e-02,9.34330621e-01,-1.86966124e-03,1.86866218e+00,8.72100705e-01,3.34485901e-02,1.43214797e-01,1.05350913e-05,1.44764954e+00,False,False,False,False
8.95000000e+02,6.51276750e-02,9.33872325e-01,-1.86874465e-03,1.86774558e+00,8.71245371e-01,3.36936109e-02,1.44337057e-01,1.06702411e-05,1.44965408e+00,False,False,False,False
9.00000000e+02,6.55759360e-02,9.33424064e-01,-1.86784813e-03,1.86684906e+00,8.70409172e-01,3.39333789e-02,1.45436342e-01,1.08046034e-05,1.45161177e+00,False,False,False,False
9.05000000e+02,6.60104310e-02,9.32989569e-01,-1.86697914e-03,1.86598007e+00,8.69599036e-01,3.41658898e-02,1.46503381e-01,1.09375223e-05,1.45350658e+00,False,False,False,False
9.10000000e+02,6.64274310e-02,9.32572569e-01,-1.86614514e-03,1.86514607e+00,8.68821874e-01,3.43891368e-02,1.47528858e-01,1.10683275e-05,1.45532259e+00,False,False,False,False
