wavelength,n,k
1185.0,1.457994860124474,1.0255421747689304e-07
1190.0,1.4582792010804615,1.0298693957351011e-07
1195.0,1.4584682226519088,1.0341966039788849e-07
1200.0000000000002,1.458548556598863,1.0385237974814147e-07
1205.0,1.4585465159606936,1.0428509796867711e-07
1210.0,1.4585314368539353,1.0471781600844683e-07
1215.0,1.4585053856058654,1.0515053389353708e-07
1220.0000000000002,1.4584687133014507,1.0558325162667093e-07
1225.0000000000002,1.4584217751548119,1.0601596921130521e-07
1230.0,1.458364930536355,1.0644868665128996e-07
1235.0,1.458298529971726,1.0688140394916837e-07
1240.0,1.4582229325356058,1.0731412110867061e-07
1245.0000000000002,1.458138488505551,1.0774683813313582e-07
1250.0,1.4580455567556265,1.0817955502706139e-07
1255.0,1.4579444874065495,1.0861227179265721e-07
1260.0,1.4578356348756474,1.0904498843555192e-07
1265.0000000000002,1.457719357898634,1.0947770495709263e-07
1270.0000000000002,1.4575960108613422,1.0991042136368837e-07
1275.0,1.4574659438163566,1.1034313765805316e-07
1280.0,1.457329511189711,1.1077585384421493e-07
1285.0,1.4571870717997175,1.1120856992670173e-07
1290.0000000000002,1.4570389758356226,1.1164128591015386e-07
1295.0,1.4568855822561098,1.1207400179810681e-07
1300.0,1.456727241418284,1.1250671759586165e-07
1305.0,1.4565643081301842,1.1293943330651144e-07
1310.0000000000002,1.4563971460144236,1.1337214893622573e-07
1315.0000000000002,1.4562260970814898,1.1380486448817684e-07
1320.0,1.4560515252237056,1.1423757996850887e-07
1325.0,1.4558737857873427,1.1467029538148612e-07
1330.0000000000002,1.4556932299270156,1.1510301073198215e-07
1335.0000000000002,1.4555102133138254,1.1553572602474682e-07
1340.0,1.4553250961456274,1.1596844126450558e-07
1345.0,1.4551382344513422,1.1640115645766055e-07
1350.0,1.4549499800935952,1.168338716084091e-07
1355.0000000000002,1.4547606894780172,1.1726658672215888e-07
1360.0,1.4545707235600738,1.1769930180460961e-07
1365.0,1.4543804391409505,1.1813201686097116e-07
1370.0,1.454190188866464,1.1856473189726728e-07
1375.0000000000002,1.45400032993755,1.1899744691850235e-07
1380.0000000000002,1.4538112241134307,1.1943016193060054e-07
1385.0,1.4536232289988158,1.1986287693946454e-07
1390.0,1.453436698039017,1.2029559195054697e-07
1395.0,1.4531710458041398,1.207283056828719e-07
1400.0000000000002,1.4525513896009503,1.2116101374134608e-07
1405.0,1.4516346098698278,1.2159371698826788e-07
1410.0,1.4505113542475923,1.2202641683938827e-07
1415.0,1.449272433365657,1.2245911473272383e-07
1420.0000000000002,1.4480089480287737,1.228918121215532e-07
1425.0000000000002,1.4468123352878242,1.2332451047680744e-07
1430.0,1.4457743692176142,1.2375721128674144e-07
1435.0,1.4449870774398226,1.2418991605899477e-07
1440.0000000000002,1.4445426096431706,1.2462262631871892e-07
1445.0000000000002,1.4443853468692234,1.2505534121017542e-07
1450.0,1.4442436014824185,1.2548805633663634e-07
